"N° ordine
(ex ID
Sepack)"	ID Sepack	Data Evasione	Richiedente	Nome pacchetto carta	"Descrizione campione
(Ex Identificazione del campione)
"	Codice analisi	"valore
(ex Nota parametro/analisi richiesta)"	"NotaParam
(Ex Nota generale sul campione)"
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1254CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1256CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1296CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1301CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1309CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1342CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1410CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1455CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1460CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1465CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	6016CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	6083CNT		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1701IMB		
25-000496	25LD01172	2025-06-25	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1705IMB		
25-000496	25LD01173	2025-06-19	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1123SQ		
25-000496	25LD01173	2025-06-19	PREPACK SRL		FILM STAMPATO PPCOEX MATTATO/PET MET/PE - LOTTO 1186/25	1124SQ		
25-000497	25LD01174	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	1601UE	10gg 40°C	
25-000497	25LD01174	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	1602UE	10gg 40°C	
25-000497	25LD01174	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	1604UE	10gg 40°C	
25-000497	25LD01174	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	6015B	10gg 60°C	
25-000497	25LD01175	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	1123SQ		
25-000497	25LD01175	2025-06-25	SIT S.P.A.		1044088010 - P20088MS035U - OPP COEX 20 +COEX 15 MET	1124SQ		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649A_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649B		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649C_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649D_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649E_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649F_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649G_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649H_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649I_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649L		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649M_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1649N_EXT		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1005		
25-000498	25LD01176	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1655		
25-000498	25LD01176	2025-06-25	FIMAT SPA		FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	6127		
25-000498	25LD01176	2025-06-25	FIMAT SPA		FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1701IMB		
25-000498	25LD01176	2025-06-25	FIMAT SPA		FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1705IMB		
25-000498	25LD01177	2025-06-20	FIMAT SPA		FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1123SQ		
25-000498	25LD01177	2025-06-20	FIMAT SPA		FMKH9ZEG00 (GIALLI) - Lotto 25-187 GM	1124SQ		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649A_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649B		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649C_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649D_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649E_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649F_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649G_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649H_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649I_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649L		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649M_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1649N_EXT		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1005		
25-000498	25LD01178	2025-06-25	FIMAT SPA	Carta@ITA@AllSub@SECCHI	FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1655		
25-000498	25LD01178	2025-06-25	FIMAT SPA		FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	6127		
25-000498	25LD01178	2025-06-25	FIMAT SPA		FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1701IMB		
25-000498	25LD01178	2025-06-25	FIMAT SPA		FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1705IMB		
25-000498	25LD01179	2025-06-20	FIMAT SPA		FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1123SQ		
25-000498	25LD01179	2025-06-20	FIMAT SPA		FMHK9ZEV00 (VERDI) Lotto 25-208 STNO	1124SQ		
25-000500	25LD01182	2025-06-20	SER SPA		"cera siglata ""CERA SER SP/5 (CDP 265) con n° di lotto 1155638"" - arrivo del 30/05/2025"	1706		
25-000501	25LD01183	2025-06-17	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1601UE	10gg 40°C	ex campione 25LD000869
25-000501	25LD01183	2025-06-17	GEGRAF S.R.L.		PET + PE - Lotto 35.653 del 24/03/25	1602UE	10gg 40°C	ex campione 25LD000869
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1601UE	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1602UE	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1604UE	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	4000		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	4001		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	4010		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1661CNT_PFAS		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1661CNT_FTOH		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1501B	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1621A	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1622B	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1625D2	10gg 40°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1502B	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	6015B	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	6060A	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	6060B	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	6060D2	10gg 60°C	
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1119		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1255CNT		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1301CNT		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1455CNT		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	6127P		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1702		
25-000502	25LD01184	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1705IMB		
25-000502	25LD01185	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1123SQ		
25-000502	25LD01185	2025-06-26	RESAPLAST SRL		FONDO BARATTOLINO LT 0,19 COD. 020056F. BIANCO PRODUZIONE DEL 29/04/2025 - QW 80AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 ETICHETTA IML - LOTTO 2025-02118	1124SQ		
25-000502	25LD01186	2025-08-01	RESAPLAST SRL		COPERCHIO BIANCO BARATTOLO LT.0,19 COD.024068.BIANCO PRODUZIONE DEL 28/04/2025 - QW 80 AV - LOTTO 252626 - MST REMAFIN RK4 - LOTTO ITOA094460 - ETICHETTA IML - LOTTO 2025-02119	0004_EXT		
25-000503	25LD01187	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/A - 21 µm	1601UE	10gg 40°C	
25-000503	25LD01187	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/A - 21 µm	1602UE	10gg 40°C	
25-000503	25LD01187	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/A - 21 µm	1604UE	10gg 40°C	
25-000503	25LD01188	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/B - 25 µm	1601UE	10gg 40°C	
25-000503	25LD01188	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/B - 25 µm	1602UE	10gg 40°C	
25-000503	25LD01188	2025-07-01	TAGHLEEF INDUSTRIES S.P.A.		MG15/B - 25 µm	1604UE	10gg 40°C	
25-000503	25LD01189	2025-06-26	TAGHLEEF INDUSTRIES S.P.A.		MS80/A - 25 µm	1469A	10gg 60°C	
25-000503	25LD01189	2025-06-26	TAGHLEEF INDUSTRIES S.P.A.		MS80/A - 25 µm	1469B	10gg 60°C	
25-000503	25LD01189	2025-06-26	TAGHLEEF INDUSTRIES S.P.A.		MS80/A - 25 µm	1469D2	10gg 60°C	
25-000505	25LD01191	2025-06-12	MATPER SRL		ACIDO ACETICO 3% DA PROVA MIGRAZIONE - Lotto 250661	1501_lettura		
25-000505	25LD01191	2025-06-12	MATPER SRL		ACIDO ACETICO 3% DA PROVA MIGRAZIONE - Lotto 250661	1502_lettura		
25-000505	25LD01192	2025-06-12	MATPER SRL		ACIDO ACETICO 3% DA PROVA MIGRAZIONE - Lotto 250681	1501_lettura		
25-000505	25LD01192	2025-06-12	MATPER SRL		ACIDO ACETICO 3% DA PROVA MIGRAZIONE - Lotto 250681	1502_lettura		
25-000506	25LD01193	2025-06-26	SIT S.P.A.		1024634010 - P10002BC0707 - Varnish + PAPER Coated 70g + cold seal	6127		campionare 10% di cold seal
25-000507	25LD01194	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	1601UE	10gg 40°C	
25-000507	25LD01194	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	1602UE	10gg 40°C	
25-000507	25LD01194	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	1604UE	10gg 40°C	
25-000507	25LD01194	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	6015B	10gg 60°C	
25-000507	25LD01195	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	1123SQ		
25-000507	25LD01195	2025-06-26	SIT S.P.A.		6026379010 - P10008BS0400 - Varnish + OPP white 40	1124SQ		
25-000508	25LD01196	2025-06-25	ECOL STUDIO SPA		25LD03400	1460CNT		determinare solo (Cas5873-54-1; 101-68-8; 822-06-0)
25-000509	25LD01197	2025-06-20	ECOL STUDIO SPA		25LD03346	1460CNT		determinare soltanto: Cas.101-68-8; 5873-54-1
25-000510	25LD01198	2025-06-26	CARCANO ANTONIO SPA		L725001867 Nastro di alluminio ricotto, spessore 0.045 mm, protetto (04.59) e accoppiato con adesivo (01.19) a film di poliammide di spessore 0.025 mm su lato esterno ed a film di PVC, spessore 0.060 mm, sul lato interno a contatto con l'alimento.	1123SQ		
25-000510	25LD01198	2025-06-26	CARCANO ANTONIO SPA		L725001867 Nastro di alluminio ricotto, spessore 0.045 mm, protetto (04.59) e accoppiato con adesivo (01.19) a film di poliammide di spessore 0.025 mm su lato esterno ed a film di PVC, spessore 0.060 mm, sul lato interno a contatto con l'alimento.	1124SQ		
25-000510	25LD01198	2025-06-26	CARCANO ANTONIO SPA		L725001867 Nastro di alluminio ricotto, spessore 0.045 mm, protetto (04.59) e accoppiato con adesivo (01.19) a film di poliammide di spessore 0.025 mm su lato esterno ed a film di PVC, spessore 0.060 mm, sul lato interno a contatto con l'alimento.	1125	10gg 60°C	
25-000511	25LD01199	2025-06-13	WIPAK BORDI S.R.L.		Campioni tappi NON OK	1705IMB		
25-000511	25LD01200	2025-06-13	WIPAK BORDI S.R.L.		Campioni tappi NON OK	1124SQ		
25-000511	25LD01201	2025-06-13	WIPAK BORDI S.R.L.		Campioni tappi NON OK	0000	3016M	per confronto con campione tappi OK
25-000511	25LD01202	2025-06-13	WIPAK BORDI S.R.L.		Campioni tappi OK	1705IMB		
25-000511	25LD01203	2025-06-13	WIPAK BORDI S.R.L.		Campioni tappi OK	1124SQ		
25-000511	25LD01204	2025-06-13	WIPAK BORDI S.R.L.		Campione zip non OK	1705IMB		
25-000511	25LD01205	2025-06-13	WIPAK BORDI S.R.L.		Campione zip non OK	1124SQ		
25-000511	25LD01206	2025-06-13	WIPAK BORDI S.R.L.		Campione zip non OK	0000	3016M	per confronto con campione zip OK
25-000511	25LD01207	2025-06-13	WIPAK BORDI S.R.L.		Campione zip OK	1705IMB		
25-000511	25LD01208	2025-06-13	WIPAK BORDI S.R.L.		Campione zip OK	1124SQ		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9030_EXT		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9031_EXT		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9032_EXT		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9033_EXT		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9035_EXT		
25-000512	25LD01209	2025-06-26	VIBAC S.P.A.		Film BOPP trasparente non laccato 25 µ codice BUVD (Densità fisica 0,91 g/cc - fogli formato A4) - Lotto Num. Bob. 11947106	9036_EXT		
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1601DM	4h a 100°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1602DM	4h a 100°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1608	2h 175°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1501B	4 h 100°C + 10gg 60°C, single side PET coestruso	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1621A	4h a 100°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1622B	4h a 100°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1625D2	4h a 100°C	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1502B	4 h 100°C + 10gg 60°C, single side PET coestruso	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	6015B	4 h 100°C + 10gg 60°C, single side PET coestruso	
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1255CNT		
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1701IMB		
25-000513	25LD01210	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1705IMB		
25-000513	25LD01211	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1123SQ		
25-000513	25LD01211	2025-06-26	SMURFIT WESTROCK ITALIA S.P.A.		06-25 ESSELUNGA INVERFORM + BPET 256560	1124SQC		
25-000514	25LD01212	2025-06-26	NOVACART SPA		STAMPI GARDENIA ST.FONDO PIENO ROSSO P1795C/ GARDENIA MOULDS FULL SURFACE PRINTED RED P1795C	1502DEC		
25-000514	25LD01212	2025-06-26	NOVACART SPA		STAMPI GARDENIA ST.FONDO PIENO ROSSO P1795C/ GARDENIA MOULDS FULL SURFACE PRINTED RED P1795C	1502FRC_EXT		
25-000514	25LD01213	2025-06-26	NOVACART SPA		CARTA STAMPATA FONDO PIENO ROSSO P485U/PAPER FULL SURFACE PRINTED RED P485U	1502DEC		integrazione arrivata l'11/06/2025
25-000514	25LD01215	2025-06-26	NOVACART SPA		PIROTTINI PASTICCERIA PERGAMIN MARRONE STAMPATI B-NEW / PASTRY PAPER CUPS IN BROWN PAPER GOLD PRINT B-NEW	1123SQ		
25-000514	25LD01215	2025-06-26	NOVACART SPA		PIROTTINI PASTICCERIA PERGAMIN MARRONE STAMPATI B-NEW / PASTRY PAPER CUPS IN BROWN PAPER GOLD PRINT B-NEW	1124SQ		
